filename zpe	E0 	Ee
furan-hydroxymethylfurfuraldehyde.in.out 0.112218 -457.799384 -457.91160199999996 
phenol-2ethylphenol.in.out 0.160611 -385.967323 -386.12793400000004 
oxygenates-maltol.in.out 0.11302 -457.825407 -457.938427 
aromatics-orthoxylene.in.out 0.155303 -310.751167 -310.90647 
furan-dimethylfuran.in.out 0.124978 -308.565897 -308.690875 
beta-D-xylopyranose.in.out 0.16386 -572.520776 -572.684636 
furan-methylfurfuraldehyde.in.out 0.106896 -382.594129 -382.701025 
aromatics-metaxylene.in.out 0.154631 -310.752397 -310.90702799999997 
furan-fructose.in.out 0.196701 -687.029145 -687.2258459999999 
oxygenates-hydroxyacetone.in.out 0.088924 -268.301177 -268.390101 
ester-methylcrotonate.in.out 0.12277 -345.69161 -345.81438 
ketone-cyclohexanone.in.out 0.150527 -309.764112 -309.914639 
furan-furfurylalcohol.in.out 0.102832 -344.474291 -344.577123 
ketone-2-butanone.in.out 0.112447 -232.374665 -232.487112 
ketone-dimethylcyclopentanone.in.out 0.176693 -349.053016 -349.229709 
aromatics-benzene.in.out 0.100149 -232.164584 -232.26473299999998 
beta-L-lyxopyranose.in.out 0.163875 -572.516245 -572.68012 
ketone-3-pentanone.in.out 0.140553 -271.66684 -271.807393 
syringol-4-propenylsyringol.in.out 0.230024 -653.048829 -653.2788529999999 
phenol-23-dimethylphenol.in.out 0.159599 -385.972075 -386.13167400000003 
beta-D-talopyranose.in.out 0.198622 -687.03177 -687.230392 
oxygenates-4-hydroxy-3-methoxy-benzaldehyde.in.out 0.146069 -535.205233 -535.351302 
phenol-13dihydroxybenzene.in.out 0.108853 -382.611118 -382.719971 
alcohol-ethyleneglycol.in.out 0.085428 -230.184424 -230.26985200000001 
ester-propiolactone.in.out 0.068574 -267.106213 -267.17478700000004 
ester-valerolactone.in.out 0.125973 -345.714445 -345.840418 
ester-methylformate.in.out 0.061932 -229.020082 -229.08201400000002 
ketone-methylcyclohexanone.in.out 0.178538 -349.055239 -349.233777 
aldehyde-pentanal.in.out 0.141084 -271.652241 -271.793325 
ketone-2-methyl-cylcopentenone.in.out 0.125849 -308.56165 -308.687499 
alpha-L-xylopyranose.in.out 0.163882 -572.514895 -572.678777 
acid-2-oxo-pentanoicacid.in.out 0.127538 -420.946067 -421.07360500000004 
phenol-4-methylphenol.in.out 0.13172 -346.680855 -346.812575 
beta-D-fucopyranose.in.out 0.192716 -611.808227 -612.000943 
beta-D-tagatopyranose.in.out 0.197687 -687.028593 -687.22628 
ester-methylpropionate.in.out 0.118021 -307.610446 -307.728467 
furan-methylfuran.in.out 0.097405 -269.267585 -269.36499 
alkenes-dimethylcyclopentene.in.out 0.171247 -273.814972 -273.986219 
alpha-L-fucopyranose.in.out 0.192517 -611.8151 -612.007617 
aldehyde-ghydroxyacetaldehyde.in.out 0.061041 -228.998809 -229.05984999999998 
beta-D-allopyranose.in.out 0.197637 -687.028793 -687.2264299999999 
ketone-23pentanedione.in.out 0.121464 -345.69585 -345.817314 
alpha-D-arabinopyranose.in.out 0.164329 -572.522086 -572.6864149999999 
oxygenates-hydroxyacetaldehyde.in.out 0.061042 -228.998807 -229.05984899999999 
phenol-123-trihydroxybenzene.in.out 0.113075 -457.834283 -457.947358 
oxygenates-2-methoxy-4-methylanisole.in.out 0.192139 -500.450866 -500.643005 
alcohol-propanol.in.out 0.108391 -194.261514 -194.36990500000002 
phenol-26-dimethylphenol.in.out 0.159537 -385.975008 -386.134545 
ketone-23-butanedione.in.out 0.09293 -306.406574 -306.499504 
aldehyde-furfuraldehyde.in.out 0.079444 -343.294215 -343.37365900000003 
ketone-cyclopentanone.in.out 0.12092 -270.47247 -270.59339 
alpha-L-lyxopyranose.in.out 0.164616 -572.520704 -572.68532 
furan-furan.in.out 0.069881 -229.969131 -230.039012 
syringol-syringaldehyde.in.out 0.178914 -649.707977 -649.886891 
aldehyde-2-methyl-2-butenal.in.out 0.116541 -270.451951 -270.568492 
beta-D-ribopyranose.in.out 0.164595 -572.52264 -572.687235 
ester-methylacetate.in.out 0.089481 -268.321231 -268.410712 
oxygenates-methylcyclopentenolone.in.out 0.130053 -383.783138 -383.913191 
aldehyde-acetaldehyde.in.out 0.055361 -153.787607 -153.842968 
ester-methylbutyrate.in.out 0.146453 -346.898841 -347.045294 
phenol-2-methylphenol.in.out 0.131986 -346.681056 -346.813042 
acid-4-hydroxy-pentanoicacid.in.out 0.151751 -422.124859 -422.27661 
acid-crotonicacid.in.out 0.095076 -306.4132 -306.508276 
acid-2-methyl-butenoicacid.in.out 0.122649 -345.70519 -345.82783900000004 
beta-D-lyxopyranose.in.out 0.163874 -572.516246 -572.68012 
furan-16-anhydroglucofuranonse.in.out 0.170699 -610.593861 -610.76456 
phenol-24-dimethylphenol.in.out 0.159125 -385.974265 -386.13339 
alkenes-alpha-pinene.in.out 0.23509 -390.454949 -390.690039 
beta-L-xylopyranose.in.out 0.16386 -572.520776 -572.684636 
alpha-D-allopyranose.in.out 0.198095 -687.027263 -687.2253579999999 
acid-butanoicacid.in.out 0.118745 -307.620672 -307.739417 
phenol-12dihydroxybenzene.in.out 0.108803 -382.610927 -382.71973 
alpha-L-sorbopyranose.in.out 0.197393 -687.019694 -687.217087 
alpha-D-psicopyranose.in.out 0.197871 -687.029128 -687.226999 
alpha-D-idopyranose.in.out 0.197715 -687.019784 -687.217499 
acid-benzoicacid.in.out 0.115522 -420.74043 -420.855952 
aldehyde-formaldehyde.in.out 0.026606 -114.48361 -114.510216 
alpha-D-xylopyranose.in.out 0.164521 -572.521588 -572.686109 
acid-aceticacid.in.out 0.061694 -229.043 -229.104694 
guaiacols-4-propylguiacol.in.out 0.221819 -539.758397 -539.9802159999999 
aromatics-paraxylene.in.out 0.154615 -310.752313 -310.906928 
alkenes-2methylpropene.in.out 0.107642 -157.133989 -157.241631 
beta-L-arabinopyranose.in.out 0.164408 -572.519926 -572.684334 
ester-butyrolactone.in.out 0.098123 -306.417031 -306.515154 
alpha-D-gulopyranose.in.out 0.198226 -687.02401 -687.222236 
guaiacols-ethylguiacol.in.out 0.193375 -500.469628 -500.663003 
alpha-D-galacturonopyranose.in.out 0.179349 -761.085315 -761.264664 
beta-D-glucopyranose.in.out 0.196909 -687.026852 -687.223761 
oxygenates-3-hydroxy-2-methyl-4-pyrone.in.out 0.112398 -457.82226 -457.934658 
aromatics-orthoxylene.out 0.155303 -310.751167 -310.90647 
furan-3-methylfuranone.in.out 0.102261 -344.511991 -344.614252 
beta-D-gulopyranose.in.out 0.197356 -687.024699 -687.2220550000001 
alpha-D-talopyranose.in.out 0.199087 -687.030148 -687.229235 
beta-D-idopyranose.in.out 0.19781 -687.019792 -687.217602 
acid-hexanoicacid.in.out 0.175882 -386.196086 -386.371968 
ketone-methylcyclopentanone.in.out 0.148989 -309.763785 -309.91277399999996 
oxygenates-methylal.in.out 0.112872 -269.459522 -269.572394 
phenol-14dihydroxybenzene.in.out 0.108553 -382.607819 -382.716372 
furan-levoglucosan.in.out 0.172373 -610.60775 -610.780123 
acid-heptanoicacid.in.out 0.204223 -425.48461 -425.688833 
acid-propanoic.in.out 0.090301 -268.332277 -268.422578 
oxygenates-2-hydroxy-3-methyl-2cyclopentene-1-one.in.out 0.130504 -383.798198 -383.928702 
furan-furoicacid.in.out 0.085115 -418.541587 -418.62670199999997 
alpha-L-galactopyranose.in.out 0.198008 -687.023425 -687.2214329999999 
guaiacols-propioguiacone.in.out 0.203308 -613.801549 -614.004857 
acid-hydroxyaceticacid.in.out 0.067036 -304.252981 -304.32001699999995 
ester-angelicalactone.in.out 0.101566 -344.510823 -344.612389 
alpha-D-fucopyranose.in.out 0.192516 -611.815101 -612.007617 
furan-furanone.in.out 0.074546 -305.213572 -305.288118 
alpha-D-ribopyranose.in.out 0.164987 -572.524398 -572.689385 
acid-formicacid.in.out 0.033897 -189.741395 -189.775292 
furan-furfuraldehyde.in.out 0.079443 -343.294216 -343.37365900000003 
syringol-4-propylsyringol.in.out 0.252291 -654.237478 -654.489769 
oxygenates-acetal.in.out 0.14093 -308.746892 -308.887822 
beta-D-arabinopyranose.in.out 0.164408 -572.519927 -572.684335 
beta-L-ribopyranose.in.out 0.164596 -572.522639 -572.687235 
phenol-phenol.in.out 0.103433 -307.381869 -307.485302 
guaiacols-eugenol.in.out 0.198255 -538.543751 -538.7420060000001 
phenol-25-dimethylphenol.in.out 0.159196 -385.974928 -386.134124 
alcohol-ethanol.in.out 0.079825 -154.97308 -155.052905 
alcohol-butanol.out 0.136835 -233.549793 -233.68662799999998 
alpha-L-arabinopyranose.in.out 0.164409 -572.519925 -572.6843339999999 
syringol-26dimethoxyphenol.in.out 0.167857 -536.367073 -536.53493 
alcohol-isopropanol.in.out 0.107665 -194.267347 -194.375012 
alpha-D-mannopyranose.in.out 0.197814 -687.027794 -687.225608 
alcohol-methanol.in.out 0.051204 -115.679141 -115.730345 
alpha-D-rhamnopyranose.in.out 0.192191 -611.815845 -612.008036 
beta-D-mannopyranose.in.out 0.197595 -687.027435 -687.22503 
ketone-acetone.in.out 0.083283 -193.087251 -193.170534 
ketone-2-heaxanone.in.out 0.168818 -310.954514 -311.123332 
oxygenates-acetyloxy2propanone.in.out 0.126534 -420.923161 -421.049695 
ketone-2-cylcopentenone.in.out 0.097696 -269.271319 -269.369015 
alpha-D-lyxopyranose.in.out 0.164617 -572.520702 -572.685319 
